FID,geom,efetivacao,id,tipo,latitude,longitude,elevacao,vfr,ifr,timezone,privado,nome,uf
AIRPORT21JUL16.1,MULTIPOINT ((-49.613540767955946 -20.211956617427845)),2014-01-09,SSUU,HP,-20.2125,-49.61361,476,N,N,C,YES,PALESTINA / HELPN  Colombo II,SP
AIRPORT21JUL16.2,MULTIPOINT ((-44.968584802819585 -22.57340774663347)),2014-01-09,SJGQ,HP,-22.57389,-44.96889,553,Y,N,C,,CRUZEIRO / HEPLN Ledware,SP
AIRPORT21JUL16.3,MULTIPOINT ((-34.90342084222931 -8.130814847455966)),2013-05-30,SDGN,HP,-8.13167,-34.90417,88,Y,N,C,YES,RECIFE / HELPN Empresarial Pontes Corporate Center,PE
AIRPORT21JUL16.4,MULTIPOINT ((-46.68172434568247 -23.590385146129254)),2013-05-30,SDXQ,HP,-23.59083,-46.68194,828,Y,N,C,YES,SÃO PAULO / HELPN Internacional Plaza II,SP
AIRPORT21JUL16.5,MULTIPOINT ((-55.94967338202517 -6.413848639305629)),2013-05-30,SISG,AD,-6.41472,-55.94944,213,N,,C,YES,ITAITUBA/São Chico,PA
AIRPORT21JUL16.6,MULTIPOINT ((-45.32889949523092 -8.425834048531657)),2013-05-30,SSIA,AD,-8.42667,-45.32917,530,N,,C,YES,BAIXA GRANDE DO RIBEIRO/Ipe,PI
AIRPORT21JUL16.7,MULTIPOINT ((-51.950322719617354 -19.720554267137285)),2014-07-24,SWXL,AD,-19.72111,-51.95028,445,N,N,D,YES,INOCÊNCIA / Faz. Santa Maria,MS
AIRPORT21JUL16.8,MULTIPOINT ((-56.592491304073924 -17.14381502742538)),2014-07-24,SJHK,AD,-17.14444,-56.59222,101,N,,D,YES,BARÃO DE MELGAÇO / Faz. Santa Maria do Porto de Capivara,MT
AIRPORT21JUL16.9,MULTIPOINT ((-48.210695448888764 -18.173844793596295)),2014-07-24,SWFM,AD,-18.17444,-48.21083,632,N,N,C,YES,GOIANDIRA/Faz. Maiador,GO
AIRPORT21JUL16.10,MULTIPOINT ((-40.283945855088135 -6.103282894186594)),2013-05-30,SSMM,HP,-6.10417,-40.28444,380,Y,N,D,YES,TAUÁ/HELP Macaé,CE
AIRPORT21JUL16.11,MULTIPOINT ((-38.889161712594294 -3.9671304353188286)),2013-05-30,SSYJ,HP,-3.96806,-38.88972,91,Y,N,C,YES,MARANGUAPE / HELPN Boisa,CE
AIRPORT21JUL16.12,MULTIPOINT ((-39.0677587817486 -16.48711863980924)),2013-05-30,SNSD,HP,-16.48778,-39.06833,4,Y,,C,YES,PORTO SEGURO/ HELPN Passargada,BA
AIRPORT21JUL16.13,MULTIPOINT ((-35.57511673383738 -8.702216124764039)),2013-05-30,SDDL,HP,-8.70306,-35.57583,118,Y,,C,YES,PALMARES/HELPN Hospital Geral de Palmares,PE
AIRPORT21JUL16.14,MULTIPOINT ((-43.50601072572929 -23.001194926716053)),2013-05-30,SJGG,HP,-23.00167,-43.50639,3,Y,N,C,YES,RIO DE JANEIRO/HELPN Grota Funda,RJ
AIRPORT21JUL16.15,MULTIPOINT ((-44.372728590781854 -19.465819136138364)),2013-05-30,SDBO,HP,-19.46639,-44.37306,738,Y,N,C,YES,INHAÚMA/HELPN Morada Nova,MG
AIRPORT21JUL16.16,MULTIPOINT ((-46.69200245515011 -23.702332969517187)),2013-05-30,SSXK,HP,-23.70278,-46.69222,776,N,N,C,YES,SÃO PAULO/HELPN Kartódromo Ayrton Senna,SP
AIRPORT21JUL16.17,MULTIPOINT ((-54.45961167082321 -18.544409751796138)),2013-02-07,SITV,AD,-18.545,-54.45944,326,N,N,D,YES,COXIM / Faz. Serra Dourada,MS
AIRPORT21JUL16.18,MULTIPOINT ((-56.09969107685378 -18.14411954957062)),2013-05-30,SSTA,AD,-18.14472,-56.09944,135,N,,D,YES,CORUMBÁ/Faz. Santa Cecília II,MS
AIRPORT21JUL16.19,MULTIPOINT ((-46.1961444351075 -23.523160183972482)),2014-01-09,SWHW,HP,-23.52361,-46.19639,796,N,N,C,YES,MOJI DAS CRUZES / HELPN Helbor Tower,SP
AIRPORT21JUL16.20,MULTIPOINT ((-52.32451216676804 -28.303037552650164)),2013-05-30,SSYU,HP,-28.30333,-52.32444,705,Y,,C,YES,PASSO FUNDO/ HELPN José Antonio Andreetta,RS
AIRPORT21JUL16.21,MULTIPOINT ((-43.95187356862796 -19.994166086468475)),2013-05-30,SDGV,HP,-19.99472,-43.95222,1213,Y,,C,YES,NOVA LIMA/ HELPN Conde,MG
AIRPORT21JUL16.22,MULTIPOINT ((-49.5783957374099 -27.863106178157945)),2013-05-30,SIJN,AD,-27.86342,-49.57847,878,N,,C,YES,BOM RETIRO/Pouso na Serra,SC
AIRPORT21JUL16.23,MULTIPOINT ((-51.99421172280171 -10.137539658306515)),2013-01-10,SDLD,AD,-10.13833,-51.99417,288,N,N,D,YES,CONFRESA/ Faz. Barra Grande,MT
AIRPORT21JUL16.24,MULTIPOINT ((-42.60988709675937 -4.600477914072906)),2013-01-10,SIQZ,AD,-4.60139,-42.61028,147,N,N,C,YES,JOSÉ DE FREITAS / Faz. Lagoa Serena,PI
AIRPORT21JUL16.25,MULTIPOINT ((-57.67920171568173 -10.810329102167199)),2013-01-10,SNJE,AD,-10.81111,-57.67889,289,N,N,D,YES,JUARA / Faz. Mandassaia,MT
AIRPORT21JUL16.26,MULTIPOINT ((-61.39104058161707 -10.120309471019494)),2013-02-07,SDFA,AD,-10.12111,-61.39056,195,N,,D,YES,RODOLÂNDIA/ Faz. Providência,MT
AIRPORT21JUL16.27,MULTIPOINT ((-55.71439036632525 -14.477082682786833)),2013-02-07,SITN,AD,-14.47778,-55.71417,292,N,,D,YES,ROSÁRIO OESTE/ SESC Serra Azul,MT
AIRPORT21JUL16.28,MULTIPOINT ((-46.744783186763904 -23.52649442963308)),2013-02-07,SDSX,HP,-23.52694,-46.745,745,Y,,C,YES,SÃO PAULO/ HELPN ITM Expo,SP
AIRPORT21JUL16.29,MULTIPOINT ((-42.28874259075837 -17.686045677772)),2013-02-07,SIRA,AD,-17.68667,-42.28917,1019,N,,C,YES,SETUBINHA/ Faz. Primavera,MG
AIRPORT21JUL16.30,MULTIPOINT ((-55.05603685884222 -23.884838922223768)),2013-02-07,SDBI,AD,-23.88528,-55.05583,354,N,,D,YES,SETE QUEDAS/ Faz. Piray,MS
AIRPORT21JUL16.31,MULTIPOINT ((-38.42579394672288 -12.838420227790843)),2013-02-07,SIEI,HP,-12.83917,-38.42639,91,Y,,C,YES,SIMÕES FILHO/ HELPN HELÍCIA,BA
AIRPORT21JUL16.32,MULTIPOINT ((-44.18772811500927 -14.617083514533187)),2013-11-14,SJBF,AD,-14.61778,-44.18806,508,N,N,C,YES,MANGA / Faz. Santa Bárbara,MG
AIRPORT21JUL16.33,MULTIPOINT ((-46.82756517732035 -23.502049367288922)),2013-11-14,SWEG,HP,-23.5025,-46.82778,785,Y,N,C,YES,BARUERI / HELPN Engevix,SP
AIRPORT21JUL16.34,MULTIPOINT ((-50.779431633444005 -20.855030523752614)),2013-11-14,SWTG,AD,-20.85556,-50.77944,343,Y,N,C,YES,SANTO ANTÔNIO DO ARACANGUÁ / Faz. Santa Marina,SP
AIRPORT21JUL16.35,MULTIPOINT ((-49.58854099052018 -16.656305890224665)),2013-11-14,SWFP,HP,-16.65694,-49.58861,797,Y,N,C,YES,TRINDADE / HELPN Faz. Planalto,GO
AIRPORT21JUL16.36,MULTIPOINT ((-48.63931978948665 -26.95243679543767)),2013-11-14,SSRV,HP,-26.95278,-48.63944,840,Y,N,C,YES,ITAJAÍ / HELPN Riviera,SC
AIRPORT21JUL16.37,MULTIPOINT ((-55.57244679379058 -20.75946931022044)),2013-11-14,SIIT,AD,-20.76,-55.57222,363,N,N,D,YES,ANASTÁCIO / Faz. Cachoeira,MS
AIRPORT21JUL16.38,MULTIPOINT ((-49.29074554519363 -22.744806959733992)),2013-11-14,SICI,AD,-22.74528,-49.29083,633,N,N,C,YES,AGUDOS / Domélia,SP
AIRPORT21JUL16.39,MULTIPOINT ((-50.67859339201652 -20.040563223324185)),2013-11-14,SNEP,HP,-20.04111,-50.67861,412,N,,C,YES,SANTA ALBERTINA/ HELPN Colombo III,SP
AIRPORT21JUL16.40,MULTIPOINT ((-48.194310318976015 -10.701996098131136)),2013-11-14,SIZM,AD,-10.70278,-48.19444,312,N,N,C,YES,PORTO NACIONAL / Faz. Santa Clara,TO
AIRPORT21JUL16.41,MULTIPOINT ((-50.6280360778692 -12.800100313298355)),2014-03-06,SJQP,AD,-12.80083,-50.62806,244,N,N,D,YES,COCALINHO / Estância Rebog,MT
AIRPORT21JUL16.42,MULTIPOINT ((-48.86739037829413 -23.447327612265134)),2014-03-06,SWDI,AD,-23.44778,-48.8675,656,N,N,C,YES,PARANAPANEMA/Aeroagrícola Solo,SP
AIRPORT21JUL16.43,MULTIPOINT ((-38.14773815838161 -5.200208155883309)),2014-03-06,SDGQ,AD,-5.20111,-38.14833,47,N,N,C,YES,LIMOEIRO DO NORTE / Jeová Gomes,CE
AIRPORT21JUL16.44,MULTIPOINT ((-50.835267686965445 -21.595329445460795)),2013-02-07,SDDI,AD,-21.59583,-50.83528,638,N,N,C,YES,SALMORÃO / Faz. Tamara,SP
AIRPORT21JUL16.45,MULTIPOINT ((-51.2108416670187 -15.566834062694669)),2013-02-07,SNFV,AD,-15.5675,-51.21083,375,N,N,C,YES,SANTA FÉ DE GOIÁS / Serra da Pintura,GO
AIRPORT21JUL16.46,MULTIPOINT ((-54.44099693049826 -15.432940575788328)),2013-11-14,SWJO,AD,-15.43361,-54.44083,639,N,N,D,YES,POXORÉO / Faz. São José,MT
AIRPORT21JUL16.47,MULTIPOINT ((-58.109785901485786 -16.705468220483493)),2013-02-07,SSZN,AD,-16.70611,-58.10944,107,N,N,D,YES,CÁCERES/Faz.Carandazal,MT
AIRPORT21JUL16.48,MULTIPOINT ((-47.55288447368567 -19.319152837252982)),2013-02-07,SJQL,AD,-19.31972,-47.55306,950,N,N,C,YES,SANTA JULIANA / Águas Claras Aviação Agrícola,MG
AIRPORT21JUL16.49,MULTIPOINT ((-52.307004887994275 -13.188442667715147)),2013-02-07,SDQB,AD,-13.18917,-52.30694,381,N,N,D,YES,QUERÊNCIA / Faz. Estrela D`Alva,MT
AIRPORT21JUL16.50,MULTIPOINT ((-50.513030927913604 -8.947236003966113)),2013-02-07,SIDJ,AD,-8.94806,-50.51306,246,N,N,C,YES,SANTA MARIA DAS BARREIRAS / Faz. Arpa,PA
AIRPORT21JUL16.51,MULTIPOINT ((-49.92244131010312 -28.296092956243378)),2013-02-07,SDYU,HP,-28.29639,-49.9225,1373,Y,N,C,YES,SÃO JOAQUIM / HELPN Pericó Vinícola,SC
AIRPORT21JUL16.52,MULTIPOINT ((-54.07152960353623 -1.995708190186306)),2012-01-20,SNMA,AD,-1.99667,-54.07139,99,N,N,C,NO,MONTE ALEGRE / Monte Alegre,PA
AIRPORT21JUL16.53,MULTIPOINT ((-42.76683853739417 -5.008263595904863)),2013-02-07,SDYQ,HP,-5.00917,-42.76722,76,N,N,C,YES,TERESINA / HELPN Condomínio Aldebaran Ville,PI
AIRPORT21JUL16.54,MULTIPOINT ((-42.61905391397643 -5.0729869765281315)),2013-02-07,SNVG,HP,-5.07389,-42.61944,141,N,N,C,YES,TERESINA / HELPN Sinhozinho Macedo,PI
AIRPORT21JUL16.55,MULTIPOINT ((-48.94905653045346 -28.52776677048165)),2013-02-07,SIEZ,AD,-28.52806,-48.94917,8,N,N,C,YES,TUBARÃO / Asa Branca,SC
